iteration,x1,x2,f(x),gradient_norm,alpha,hessian_shift
0,1.000000000000e+00,1.000000000000e+00,2.000000000000e+00,4.472135955000e+00,,
1,-1.550577011180e-01,6.149807662940e-01,1.670791464561e-01,9.806710085656e-01,1.155057701118e+00,0.000000000000e+00
2,7.719956074621e-02,3.079257197990e-01,1.495027250647e-02,1.935936586863e-01,1.497876340160e+00,0.000000000000e+00
3,-1.641823070501e-02,1.834546928486e-01,1.402259348401e-03,4.108748439109e-02,1.212672592257e+00,0.000000000000e+00
4,6.796417059250e-03,9.698910160633e-02,1.346807858695e-04,1.407422145295e-02,1.413955509663e+00,0.000000000000e+00
5,-1.715728272447e-03,5.649789762506e-02,1.313266689678e-05,3.506460574962e-03,1.252445995808e+00,0.000000000000e+00
6,6.349395285358e-04,3.069587312362e-02,1.290958065821e-06,1.275138130199e-03,1.370069980621e+00,0.000000000000e+00
7,-1.763641521476e-04,1.762183287897e-02,1.275325702864e-07,3.534067868064e-04,1.277765274048e+00,0.000000000000e+00
8,6.106113605084e-05,9.714200292404e-03,1.263334527937e-08,1.221773071796e-04,1.346221923828e+00,0.000000000000e+00
9,-1.790391220631e-05,5.526690612320e-03,1.253504892173e-09,3.581419037941e-05,1.293212890625e+00,0.000000000000e+00
10,5.944658349753e-06,3.072782410756e-03,1.244901709863e-10,1.188988308692e-05,1.332031250000e+00,0.000000000000e+00
11,-1.857705734298e-06,1.728440106050e-03,1.237625791649e-11,3.715468880998e-06,1.312500000000e+00,0.000000000000e+00
12,4.644264335744e-07,1.008256728529e-03,1.249130123927e-12,9.288619154640e-07,1.250000000000e+00,0.000000000000e+00
13,0.000000000000e+00,6.721711523529e-04,2.041359430566e-13,1.214785504210e-09,1.000000000000e+00,0.000000000000e+00
14,0.000000000000e+00,2.240570507843e-04,2.520196827859e-15,4.499205571147e-11,2.000000000000e+00,0.000000000000e+00
