iteration,x1,x2,f(x),gradient_norm,alpha,hessian_shift
0,1.000000000000e+00,1.000000000000e+00,2.000000000000e+00,4.472135955000e+00,,
15,1.767203865487e-03,-7.616269093871e-02,3.677177376886e-05,3.951588297654e-03,2.178132057190e+00,0.000000000000e+00
30,-1.539263265520e-04,-5.359248020571e-02,8.272961538043e-06,6.883777647622e-04,6.223001480103e-01,0.000000000000e+00
45,3.185675977549e-04,-4.302432901503e-02,3.528030191359e-06,7.123390365194e-04,2.391723632812e+00,0.000000000000e+00
60,-5.193118110251e-05,-3.730866256686e-02,1.940183517865e-06,2.322436625519e-04,6.236953735352e-01,0.000000000000e+00
75,1.452861014894e-04,-3.311698046043e-02,1.223934384059e-06,3.248678212847e-04,2.435302734375e+00,0.000000000000e+00
90,-2.776228974677e-05,-3.027986797347e-02,8.414220833629e-07,1.241582548770e-04,6.241455078125e-01,0.000000000000e+00
105,8.687975669535e-05,-2.790139109271e-02,6.135910742587e-07,1.942707386146e-04,2.453613281250e+00,0.000000000000e+00
120,-1.785681943069e-05,-2.613798655119e-02,4.670733735063e-07,7.985993119819e-05,6.243286132812e-01,0.000000000000e+00
135,5.923657294586e-05,-2.456033880363e-02,3.673715678081e-07,1.324675681592e-04,2.462890625000e+00,0.000000000000e+00
150,-1.270190167080e-05,-2.333120609686e-02,2.964730110464e-07,5.679864881992e-05,6.245117187500e-01,0.000000000000e+00
165,4.368406961257e-05,-2.218829696829e-02,2.442877946681e-07,9.768544496838e-05,2.468750000000e+00,0.000000000000e+00
180,-9.637523344570e-06,-2.127004337387e-02,2.047719834638e-07,4.304793749126e-05,6.250000000000e-01,0.000000000000e+00
195,3.389216828394e-05,-2.039286465923e-02,1.740956451865e-07,7.579900129376e-05,2.472656250000e+00,0.000000000000e+00
210,-7.612689732070e-06,-1.967213079494e-02,1.498213261280e-07,3.404599191555e-05,6.245117187500e-01,0.000000000000e+00
225,2.716454062282e-05,-1.897230209383e-02,1.303006525982e-07,6.080972922644e-05,2.457031250000e+00,0.000000000000e+00
240,-6.245966699573e-06,-1.839045415925e-02,1.144242073272e-07,2.783928306466e-05,6.257324218750e-01,0.000000000000e+00
255,2.252877564479e-05,-1.781724727687e-02,1.012847786540e-07,5.041882172355e-05,2.460937500000e+00,0.000000000000e+00
270,-5.221944965893e-06,-1.733247410408e-02,9.027623579201e-08,2.329954160546e-05,6.254882812500e-01,0.000000000000e+00
285,1.914350538458e-05,-1.684916068932e-02,8.096239963945e-08,4.280171338187e-05,2.484375000000e+00,0.000000000000e+00
300,-4.442000228146e-06,-1.643548737731e-02,7.298737953041e-08,1.985678538666e-05,6.250000000000e-01,0.000000000000e+00
315,1.655524351853e-05,-1.601874419248e-02,6.611772102471e-08,3.696798878546e-05,2.515625000000e+00,0.000000000000e+00
330,-3.824713733414e-06,-1.565952795946e-02,6.014787699219e-08,1.715950258501e-05,6.240234375000e-01,0.000000000000e+00
345,1.400384126551e-05,-1.530027100227e-02,5.499811823529e-08,3.145942140166e-05,2.406250000000e+00,0.000000000000e+00
360,-3.345129614041e-06,-1.499032569026e-02,5.050571300592e-08,1.504345198177e-05,6.230468750000e-01,0.000000000000e+00
375,1.251276047158e-05,-1.467488313934e-02,4.653313713198e-08,2.803700108587e-05,2.437500000000e+00,0.000000000000e+00
390,-2.967023041728e-06,-1.439501076443e-02,4.294741267840e-08,1.332569710558e-05,6.230468750000e-01,0.000000000000e+00
405,1.146636743394e-05,-1.411301936970e-02,3.980308068334e-08,2.554089393860e-05,2.562500000000e+00,0.000000000000e+00
420,-2.667867389226e-06,-1.386204425799e-02,3.693115000503e-08,1.191608223893e-05,6.250000000000e-01,0.000000000000e+00
435,1.000033728129e-05,-1.360859084107e-02,3.439672981419e-08,2.239758023008e-05,2.468750000000e+00,0.000000000000e+00
450,-2.489344160025e-06,-1.339328277150e-02,3.218338962840e-08,1.082305256979e-05,6.328125000000e-01,0.000000000000e+00
465,8.864859335501e-06,-1.317587591709e-02,3.021683253136e-08,1.995135849086e-05,2.375000000000e+00,0.000000000000e+00
